programa,-1,-1,1
prueba2@,-54,-2,1
var,-15,-1,2
prom%,-52,-2,2
,,-76,-1,2
i&,-51,-2,2
,,-76,-1,2
nom$,-53,-2,2
,,-76,-1,-2
n&,-51,-2,2
;,-75,-1,2
var,-15,-1,3
cal%,-52,-2,3
,,-76,-1,3
dir$,-53,-2,3
;,-75,-1,3
inicio,-2,-1,4
prom%,-52,-2,4
=,-26,-2,4
0,-61,-2,4
;,-75,-1,4
i&,-51,-2,5
=,-26,-1,5
1,-61,-1,5
;,-75,-1,5
mientras,-8,-1,6
(,-73,-1,6
i&,-51,-2,6
<=,-32,-1,6
3,-61,-1,6
),-74,-1,6
inicio,-2,-1,7
leer,-4,-1,7
(,-73,-1,7
cal%,-52,-2,7
),-74,-1,7
prom@,-52,-2,8
=,-26,-1,8
prom@,-52,-2,8
+,-24,-1,8
cal%,-52,-2,8
;,-75,-1,8
i&,-51,-2,9
=,-26,-1,9
i&,-51,-2,9
+,-24,-1,9
1,-61,-1,9
;,-75,-1,9
fin,-3,-1,10
prom%,-52,-2,11
=,-26,-1,11
prom%,-52,-2,11
/,-22,-1,11
3,-61,-1,11
;,-75,-1,11
escribir,-5,-1,12
(,-73,-1,12
prom%,-52,-2,12
),-74,-1,12
;,-75,-1,12
fin,-3,-1,13

