programa,-1,-1,1
comb@,-54,0,1,
;,-75,-1,1
var,-15,-1,2
I&,-51,0,2
,,-76,-1,2
N&,-51,1,2
,,-76,-1,2
R%,-52,2,2
;,-75,-1,2
proc,-14,-1,3
fact@,-54,1,3,
;,-75,-1,3
var,-15,-1,4
I%,-52,3,4
,,-76,-1,4
J&,-51,4,4
;,-75,-1,4
inicio,-2,-1,5
I%,-52,3,6
=,-26,-1,6
100,-61,-1,6
*,-21,-1,6
R%,-52,2,6
;,-75,-1,6
escribir,-5,-1,7
(,-73,-1,7
I%,-52,3,7
),-74,-1,7
;,-75,-1,7
fin,-3,-1,8
inicio,-2,-1,10
I&,-51,0,11
=,-26,-1,11
1,-61,-1,11
;,-75,-1,11
mientras,-8,-1,12
(,-73,-1,12
I&,-51,0,12
<=,-32,-1,12
10,-61,-1,12
),-74,-1,12
inicio,-2,-1,13
N&,-51,1,14
=,-26,-1,14
N&,-51,1,14
*,-21,-1,14
I&,-51,0,14
;,-75,-1,14
I&,-51,0,15
=,-26,-1,15
I&,-51,0,15
+,-24,-1,15
1,-61,-1,15
;,-75,-1,15
fin,-3,-1,16
escribir,-5,-1,17
(,-73,-1,17
N&,-51,1,17
),-74,-1,17
;,-75,-1,17
fin,-3,-1,18
